Subject,Age,MTELP,Question,Right,Condition,HabCC,Course
BA1071,20,44,Q5,1,human_cc,NO,BA
BA1071,20,44,Q6,1,human_cc,NO,BA
BA1071,20,44,Q7,1,human_cc,NO,BA
BA1071,20,44,Q8,1,human_cc,NO,BA
BA1071,20,44,Q9,1,human_cc,NO,BA
BA1071,20,44,Q10,0,human_cc,NO,BA
BA1072,20,45,Q1,1,no_cc,YES,BA
BA1072,20,45,Q2,1,no_cc,YES,BA
BA1072,20,45,Q3,1,no_cc,YES,BA
BA1072,20,45,Q4,0,no_cc,YES,BA
BA1072,20,45,Q5,0,no_cc,YES,BA
BA1072,20,45,Q6,1,no_cc,YES,BA
BA1072,20,45,Q7,1,no_cc,YES,BA
BA1072,20,45,Q8,0,no_cc,YES,BA
BA1072,20,45,Q9,1,no_cc,YES,BA
BA1072,20,45,Q10,0,no_cc,YES,BA
BA1074,20,44,Q1,1,human_cc,NO,BA
BA1074,20,44,Q2,0,human_cc,NO,BA
BA1074,20,44,Q3,1,human_cc,NO,BA
BA1074,20,44,Q4,1,human_cc,NO,BA
BA1074,20,44,Q5,1,human_cc,NO,BA
BA1074,20,44,Q6,1,human_cc,NO,BA
