Subject,Age,MTELP,Question,Right,Condition,HabCC,Course
BA1005,19,45,Q2,0,auto_cc,YES,BA
BA1005,19,45,Q3,1,auto_cc,YES,BA
BA1005,19,45,Q4,1,auto_cc,YES,BA
BA1005,19,45,Q5,0,auto_cc,YES,BA
BA1005,19,45,Q6,1,auto_cc,YES,BA
BA1005,19,45,Q7,0,auto_cc,YES,BA
BA1005,19,45,Q8,0,auto_cc,YES,BA
BA1005,19,45,Q9,1,auto_cc,YES,BA
BA1005,19,45,Q10,1,auto_cc,YES,BA
BA1006,19,45,Q1,1,auto_cc,YES,BA
BA1006,19,45,Q2,1,auto_cc,YES,BA
BA1006,19,45,Q3,1,auto_cc,YES,BA
BA1006,19,45,Q4,0,auto_cc,YES,BA
BA1006,19,45,Q5,1,auto_cc,YES,BA
BA1006,19,45,Q6,1,auto_cc,YES,BA
BA1006,19,45,Q7,0,auto_cc,YES,BA
BA1006,19,45,Q8,1,auto_cc,YES,BA
BA1006,19,45,Q9,1,auto_cc,YES,BA
BA1006,19,45,Q10,0,auto_cc,YES,BA
BA1008,24,42,Q1,1,no_cc,NO,BA
BA1008,24,42,Q2,1,no_cc,NO,BA
BA1008,24,42,Q3,0,no_cc,NO,BA
BA1008,24,42,Q4,0,no_cc,NO,BA
BA1008,24,42,Q5,0,no_cc,NO,BA
BA1008,24,42,Q6,1,no_cc,NO,BA
BA1008,24,42,Q7,0,no_cc,NO,BA
BA1008,24,42,Q8,1,no_cc,NO,BA
BA1008,24,42,Q9,1,no_cc,NO,BA
BA1008,24,42,Q10,1,no_cc,NO,BA
BA1009,19,44,Q1,1,auto_cc,NO,BA
BA1009,19,44,Q2,1,auto_cc,NO,BA
BA1009,19,44,Q3,1,auto_cc,NO,BA
BA1009,19,44,Q4,1,auto_cc,NO,BA
BA1009,19,44,Q5,1,auto_cc,NO,BA
BA1009,19,44,Q6,1,auto_cc,NO,BA
BA1009,19,44,Q7,1,auto_cc,NO,BA
BA1009,19,44,Q8,1,auto_cc,NO,BA
BA1009,19,44,Q9,0,auto_cc,NO,BA
BA1009,19,44,Q10,0,auto_cc,NO,BA
BA1010,20,40,Q1,1,human_cc,NO,BA
BA1010,20,40,Q2,1,human_cc,NO,BA
BA1010,20,40,Q3,1,human_cc,NO,BA
BA1010,20,40,Q4,1,human_cc,NO,BA
BA1010,20,40,Q5,1,human_cc,NO,BA
BA1010,20,40,Q6,1,human_cc,NO,BA
BA1010,20,40,Q7,1,human_cc,NO,BA
BA1010,20,40,Q8,1,human_cc,NO,BA
BA1010,20,40,Q9,0,human_cc,NO,BA
BA1010,20,40,Q10,0,human_cc,NO,BA
